name;title;category;address;city;state;phone;website;google_maps_url;rating;reviews_count;instagram
Academia Transformers;Academia;Academia;AV. INDEPENDÊNCIA QD.C-1, LT. 08 - Jardim Cristalino, Aparecida de Goiânia - GO, 74968-085, Brasil;Aparecida de Goiânia;GO;+556232805681;;https://www.google.com/maps/search/?api=1&query=Academia%20Transformers&query_place_id=ChIJUYLlvPr7XpMRa7tf_ke1Zok;4.8;422;
DELTA Academia Aparecida de Goiânia;Academia;Academia;Av. Independência, QD-14 - LT-08 - Res. Village Garavelo, Aparecida de Goiânia - GO, 74980-970, Brasil;Aparecida de Goiânia;GO;+5562991877476;https://wa.me/5562991877476?text=Ol%C3%A1+!+vim+pelo+google+Maps;https://www.google.com/maps/search/?api=1&query=DELTA%20Academia%20Aparecida%20de%20Goi%C3%A2nia&query_place_id=ChIJb5y4CgP7XpMRuJ07TggnKsA;4.9;171;
HUMMER ACADEMIA | Aparecida de Goiânia;Academia;Academia;Av. Dr. Vicente Manso Pereira, qd 29 - lt 38 - Bairro Ilda, Aparecida de Goiânia - GO, 74935-680, Brasil;Aparecida de Goiânia;GO;+5562981002504;https://evo-totem.w12app.com.br/hummerfit/1/page/landing-page;https://www.google.com/maps/search/?api=1&query=HUMMER%20ACADEMIA%20%7C%20Aparecida%20de%20Goi%C3%A2nia&query_place_id=ChIJi2AibOH3XpMRQytPVHCnC5Y;4.8;221;
Bravo's Academia;Academia;Academia;Av. das Nações - St. Central, Aparecida de Goiânia - GO, 74980-055, Brasil;Aparecida de Goiânia;GO;+5562992230956;https://instagram.com/bravos_academia_?igshid=YmMyMTA2M2Y=;https://www.google.com/maps/search/?api=1&query=Bravo's%20Academia&query_place_id=ChIJWcfQqwn9XpMRsrJMzmOxaG0;4.8;314;https://instagram.com/bravos_academia_?igshid=ymmymta2m2y=
Infinity Life Gyn;Academia;Academia;1654-1812 - Av. São Paulo, 1654-1812 - Vila Brasilia, Aparecida de Goiânia - GO, 74905-730, Brasil;Aparecida de Goiânia;GO;+556232807125;;https://www.google.com/maps/search/?api=1&query=Infinity%20Life%20Gyn&query_place_id=ChIJhUXy7pDwXpMRAMiTkghpHBc;4.6;280;
Academia Cia Flex;Sala de fitness;Sala de fitness;Garavelo Center Shopping - Rua 9 C, Piso 2 Bairro - Cardoso, Aparecida de Goiânia - GO, 74934-520, Brasil;Aparecida de Goiânia;GO;+5562993648779;https://www.ciaflexacademia.com.br/;https://www.google.com/maps/search/?api=1&query=Academia%20Cia%20Flex&query_place_id=ChIJR5WDF9X5XpMRrg7UloyFHjI;4.4;348;
Invictus Academia - Parque Sta. Cecília;Academia;Academia;R. Cinco, Q 10 - L 23 - Jardim Santa Cecilia, Aparecida de Goiânia - GO, 74919-345, Brasil;Aparecida de Goiânia;GO;+556239913745;http://linktr.ee/invictusacademiago;https://www.google.com/maps/search/?api=1&query=Invictus%20Academia%20-%20Parque%20Sta.%20Cec%C3%ADlia&query_place_id=ChIJu0QbKQX7XpMRNg7Pvhcwd1E;4.7;81;
Academia Panobianco Independência ApGyn | Aberta todos os dias das 5h as 23h | Musculação Cardio | Aparecida de Goiânia;Academia;Academia;Av. Independência, 3654 - Bairro Independência, Aparecida de Goiânia - GO, 74967-145, Brasil;Aparecida de Goiânia;GO;+5562991810296;https://www.instagram.com/panobiancoindependencia.apgyn;https://www.google.com/maps/search/?api=1&query=Academia%20Panobianco%20Independ%C3%AAncia%20ApGyn%20%7C%20Aberta%20todos%20os%20dias%20das%205h%20as%2023h%20%7C%20Muscula%C3%A7%C3%A3o%20Cardio%20%7C%20Aparecida%20de%20Goi%C3%A2nia&query_place_id=ChIJ-5foXEz5XpMRJZlM3lCEHbE;4.4;44;https://www.instagram.com/panobiancoindependencia.apgyn
W Gyn Fitness;Academia;Academia;R. Paraguassu, 765 - Vila Brasilia, Aparecida de Goiânia - GO, 74905-600, Brasil;Aparecida de Goiânia;GO;+5562986364299;;https://www.google.com/maps/search/?api=1&query=W%20Gyn%20Fitness&query_place_id=ChIJoSt6UFjxXpMRnbuoU-CdQzc;4.4;87;
Trix Academia- A maior do Garavelo;Academia;Academia;R. 34-E, qd 33 - LT 18 - St. Garavelo Res. Park, Aparecida de Goiânia - GO, 74932-550, Brasil;Aparecida de Goiânia;GO;+5562981415282;;https://www.google.com/maps/search/?api=1&query=Trix%20Academia-%20A%20maior%20do%20Garavelo&query_place_id=ChIJkWYSkiH4XpMRTAF1P81S89A;4.5;355;
Acqua Power Academia;Escola de natação;Escola de natação;R. Bandeirante, Quadra 06 - lote 09 - Jardim Luz, Aparecida de Goiânia - GO, 74915-040, Brasil;Aparecida de Goiânia;GO;+556239521110;https://www.instagram.com/acquapower.ap?igsh=dGM4cmdweWJ5N3Bw;https://www.google.com/maps/search/?api=1&query=Acqua%20Power%20Academia&query_place_id=ChIJKYNKBnzxXpMRA23C3sRhejY;4.9;118;https://www.instagram.com/acquapower.ap?igsh=dgm4cmdwewj5n3bw
Academia Shalom;Academia;Academia;Av. Santana, 1560 - Nova Olinda, Aparecida de Goiânia - GO, 74988-787, Brasil;Aparecida de Goiânia;GO;+556235837689;;https://www.google.com/maps/search/?api=1&query=Academia%20Shalom&query_place_id=ChIJ_4Rn-b79XpMRFSWubKgORjk;4.7;230;
Stronger Fitness - Centro de Treinamento | CT Stronger;Academia;Academia;Av. das Nações, Qd 40 - Lt 31 - Campos Elíseos, Aparecida de Goiânia - GO, 74959-003, Brasil;Aparecida de Goiânia;GO;+556235190605;;https://www.google.com/maps/search/?api=1&query=Stronger%20Fitness%20-%20Centro%20de%20Treinamento%20%7C%20CT%20Stronger&query_place_id=ChIJr33hG6r5XpMRBOgY7DafL7Y;4.6;430;
Impacto Academia;Academia;Academia;s/n Rua Silva Bueno, Rua L-8, Quadra 13 - Jardim Nova Era, Aparecida de Goiânia - GO, 74916-150, Brasil;Aparecida de Goiânia;GO;+556230972799;;https://www.google.com/maps/search/?api=1&query=Impacto%20Academia&query_place_id=ChIJI8mw07PwXpMRe_RCqVCQzB4;4.7;287;
SkyFit Aparecida de Goiânia;Sala de fitness;Sala de fitness;R. 14 - Cardoso Continuação, Aparecida de Goiânia - GO, 74934-120, Brasil;Aparecida de Goiânia;GO;+5562993317093;https://skyfitacademia.com/unidade/aparecida-de-goiania-go/;https://www.google.com/maps/search/?api=1&query=SkyFit%20Aparecida%20de%20Goi%C3%A2nia&query_place_id=ChIJPTFvgbv5XpMRRh2jM73By4E;4.2;306;
Bear Box;Academia;Academia;Av. Atlântica, S/N - Qd 123 Lt 24 - Jardim Buriti Sereno, Aparecida de Goiânia - GO, 74944-090, Brasil;Aparecida de Goiânia;GO;+5562984075104;https://bit.ly/whats-bearbox;https://www.google.com/maps/search/?api=1&query=Bear%20Box&query_place_id=ChIJ2-qaWpH5XpMRuhcbjoTAAns;5;184;
Academia Play Fit;Academia;Academia;Av. Diamante - Vila Oliveira, Aparecida de Goiânia - GO, 74955-220, Brasil;Aparecida de Goiânia;GO;+5562993306942;https://playfitacademia.com.br/;https://www.google.com/maps/search/?api=1&query=Academia%20Play%20Fit&query_place_id=ChIJP30yhXj7XpMRRbgHg5wu8Y8;4.6;417;
ChinaTorre;Restaurante chinês;Restaurante chinês;Quarta Travessa Maragogipe, 50 - Jardim São Paulo, Recife - PE, 50790-114, Brasil;Aparecida de Goiânia;GO;+5581999028312;;https://www.google.com/maps/search/?api=1&query=ChinaTorre&query_place_id=ChIJc6ROamgfqwcRgD7E3laeHPc;4.4;11;
Oratório;Restaurante;Restaurante;Av. Beira Rio, 304 - Centro, Penedo - AL, 57200-000, Brasil;Aparecida de Goiânia;GO;+558235512985;;https://www.google.com/maps/search/?api=1&query=Orat%C3%B3rio&query_place_id=ChIJD59_quxUBAcR-amK2Ea0cgE;4.3;1975;
Aplânttica Pizzaria e Restaurante;Pizzaria;Pizzaria;Av. Liberdade, 704 - Jardim São Paulo, Recife - PE, 50920-310, Brasil;Aparecida de Goiânia;GO;+558130343784;https://www.instagram.com/aplanttica/;https://www.google.com/maps/search/?api=1&query=Apl%C3%A2nttica%20Pizzaria%20e%20Restaurante&query_place_id=ChIJix4hJbIdqwcRl3sPAqWa3x8;4.4;259;https://www.instagram.com/aplanttica/
Russo Gastrobar Maragogi;Restaurante;Restaurante;Av. Sen. Rui Palmeira, 467 - Orla, Maragogi - AL, 57955-000, Brasil;Aparecida de Goiânia;GO;+5582991744599;http://www.russogastrobar.com.br/;https://www.google.com/maps/search/?api=1&query=Russo%20Gastrobar%20Maragogi&query_place_id=ChIJea2ciVr1AAcRinVDorL3ddQ;4.2;2449;
Camboa Bar e Restaurante;Restaurante brasileiro;Restaurante brasileiro;AL-101, S/N - Povoado Bitingui, Japaratinga - AL, 57950-000, Brasil;Aparecida de Goiânia;GO;+5582981557069;https://www.camboa.sabordetudo.com.br/;https://www.google.com/maps/search/?api=1&query=Camboa%20Bar%20e%20Restaurante&query_place_id=ChIJtzkAKwP3AAcR2WXRJ2_KktA;4.6;1233;
